id,icao,iata,id_ciudad,nombre,posicion
41,PVOW,LMF,25,Aeropuerto Internacional de Icheon,"(159.1, 71.9)"
21,IWJC,HKA,18,Aeropuerto Internacional Toronto Pearson,"(40.2, 41.8)"
55,TBJM,SFF,33,Aeropuerto de Roma-Fiumicino,"(157.2, 26.7)"
25,KMPW,HOX,29,Aeropuerto Internacional Kingsford Smith,"(22.5, 59.4)"
23,JKRA,HNB,30,Aeropuerto Internacional de Melbourne,"(19.5, 53.9)"
69,XOEY,VNN,2,Aeropuerto Internacional Ataturk,"(104.0, 154.4)"
43,PYIM,NVI,5,Aeropuerto Internacional de Carrasco,"(66.4, 148.0)"
75,YHEP,YGY,9,Aeropuerto Big Apple,"(43.0, 118.1)"
1,BLFS,AWR,19,Aeropuerto Internacional Arturo Merino Benítez,"(75.4, 106.5)"
15,GPRK,DUU,10,Aeropuerto Internacional de San Francisco,"(45.1, 142.8)"
77,ZGUA,ZLQ,29,Aeropuerto Internacional de Australia,"(27.3, 111.1)"
29,MBOO,HSJ,6,Aeropuerto de Adolfo Suárez Madrid-Barajas,"(54.2, 174.5)"
27,KZZS,HRV,31,Aeropuerto Internacional de El Cairo,"(103.8, 107.6)"
19,HGZT,HCM,15,Aeropuerto de París-Charles de Gaulle,"(147.2, 49.6)"
7,EEGZ,BXS,20,Aeropuerto Internacional de Galeão,"(6.8, 90.3)"
57,TCGF,SPT,34,Aeropuerto de Milán-Malpensa,"(70.1, 56.3)"
71,XSAM,WHO,9,Aeropuerto Internacional de Nueva York,"(89.8, 171.2)"
67,XEWM,VBH,7,Aeropuerto de Ibiza,"(156.8, 54.8)"
13,GAWW,CPH,11,Aeropuerto Internacional de Miami,"(96.1, 8.4)"
39,PFXE,LCX,32,Aeropuerto Internacional de Haneda,"(153.8, 40.2)"
31,MVPW,JIZ,8,Aeropuerto Josep Tarradellas Barcelona-El Prat,"(52.7, 165.2)"
17,GSPA,EPM,23,Aeropuerto de la Ciudad de Londres,"(152.5, 76.9)"
49,SGWN,QJM,22,Aeropuerto Internacional El Alto,"(173.5, 5.6)"
33,NBMQ,JTM,26,Aeropuerto Internacional de Pekín,"(133.5, 57.9)"
9,FCJT,BYB,12,Aeropuerto Internacional O'Hare,"(166.5, 51.0)"
73,XSZW,WKT,19,Aeropuerto Internacional de Copiapo,"(92.2, 129.6)"
35,NZTG,KFE,27,Aeropuerto Internacional Pudong,"(153.9, 115.7)"
45,RCQR,OHI,4,Aeropuerto de Ámsterdam-Schiphol,"(37.1, 60.9)"
63,URLQ,UAU,17,Aeropuerto Internacional Indira Gandhi,"(149.9, 125.7)"
47,SDSC,PKS,24,Aeropuerto Internacional de Cancún,"(103.3, 99.4)"
5,DZFP,BKT,21,Aeropuerto Internacional de São Paulo-Guarulhos,"(17.9, 177.8)"
51,SIMJ,RFP,16,Aeropuerto Internacional de la Ciudad del Cabo,"(47.4, 157.1)"
53,TAZY,RRK,13,Aeropuerto Internacional Jorge Chávez,"(62.2, 148.1)"
65,VBIT,UYL,14,Aeropuerto Internacional de Maiquetía Simón Bolívar,"(144.0, 165.7)"
3,BVWK,BAH,3,Aeropuerto Internacional de Ezeiza,"(14.7, 51.2)"
59,TQQZ,TEF,1,Aeropuerto de Hong Kong,"(142.6, 4.1)"
37,NZTP,KZN,28,Aeropuerto Internacional Ben Gurión,"(159.3, 167.2)"
61,UQQX,TQV,35,Aeropuerto Internacional Eleftherios Venizelos,"(72.4, 102.6)"
11,FOLH,CKR,9,Aeropuerto Internacional John F. Kennedy,"(18.1, 123.4)"
