id_ruta,id_modelo,monto
22,1,214000
149,2,1990000
268,1,143000
100,3,321000
168,2,1330000
79,4,1850000
93,5,900000
71,6,5280000
122,7,460000
143,8,157000
89,9,162000
137,5,3370000
171,10,1090000
213,11,840000
53,2,1660000
258,3,142000
243,12,1310000
184,12,990000
186,1,143000
179,13,320000
130,14,2510000
242,13,320000
78,15,169000
66,2,660000
162,2,660000
235,16,2290000
274,7,860000
68,4,410000
126,17,662000
60,18,940000
14,2,4980000
162,12,880000
125,13,267000
72,6,2640000
23,19,1240000
115,8,126000
62,20,302000
46,1,72000
161,19,2070000
194,11,3370000
80,2,1490000
94,8,42000
69,3,160000
208,21,2010000
87,5,1350000
261,1,107000
166,2,660000
163,10,440000
105,20,403000
82,22,1670000
45,6,700000
84,21,890000
181,19,1240000
53,9,65000
51,4,2460000
138,1,72000
90,2,2990000
143,23,77000
92,24,222000
152,4,1640000
29,21,1340000
202,25,209000
95,14,1250000
64,13,320000
88,20,454000
134,7,580000
88,7,350000
69,17,331000
107,9,325000
133,22,1110000
160,10,1970000
42,4,1640000
214,13,240000
209,1,143000
118,26,1640000
240,3,214000
80,26,1640000
156,21,2680000
128,25,157000
238,19,1240000
173,16,1910000
211,12,1640000
17,16,3050000
269,1,536000
196,2,3980000
245,22,1670000
199,3,142000
90,22,830000
114,1,107000
103,20,101000
271,7,1440000
111,11,840000
134,15,113000
75,19,2070000
137,3,641000
108,21,1340000
131,8,188000
106,13,400000
123,18,940000
234,24,222000
191,11,1690000
210,4,3690000
246,8,188000
121,9,130000
113,16,3820000
32,20,202000
208,20,378000
71,27,2220000
153,2,660000
153,22,830000
132,14,3480000
172,10,1090000
122,15,226000
170,18,1880000
264,1,286000
249,16,2290000
141,22,1670000
43,3,142000
151,9,162000
104,28,740000
237,25,418000
207,22,830000
100,13,481000
263,1,107000
122,6,700000
188,25,174000
74,13,400000
123,17,276000
142,5,1690000
148,26,1460000
201,27,2220000
239,17,166000
102,13,320000
67,20,454000
86,15,226000
270,1,143000
66,4,620000
