id,codigo,id_nombre,peso
1,747-400,1,178.75
2,737-400,2,33.2
3,747-300,1,178.1
4,CRJ700,3,20.509
5,CRJ900,3,22.48
6,A220-100,4,35.221
7,Praetor 600,5,11.503
8,A350-900,6,104.6
9,747-100,1,162.4
10,E175-LR,7,21.886
11,737-200,2,28.12
12,E175-AR,7,21.906
13,A380-700,8,267.0
14,E190-AR,9,27.853
15,A380 Prestige,8,282.0
16,737-700,2,38.15
17,A380-800,8,276.0
18,737-500,2,31.3
19,737-800,2,41.415
20,A380-800F,8,252.0
21,737-900ER,2,44.675
22,E190-LR,9,27.753
23,Globemaster III,10,127.913
24,747-ER,1,184.6
25,747-200B,1,174.0
26,737-600,2,36.38
27,A220-300,4,37.081
28,Global 8000,11,24.63
