id_ruta,indice,nombre,posicion
1,1,URIDA,"(-43.275278, -72.670556)"
1,2,MUBIL,"(-38.915556, -72.252222)"
1,3,REKET,"(-44.098889, -72.380833)"
2,1,EL138,"(-33.401844, -70.642517)"
2,2,ARMOS,"(-24.291667, -67.979167)"
3,1,ASALA,"(-27.675556, -108.439444)"
3,2,EDSUK,"(-31.416667, -90.0)"
3,3,EL138,"(-33.401844, -70.642517)"
3,4,MUKSO,"(-43.280278, -72.974444)"
4,1,MUBIL,"(-38.915556, -72.252222)"
4,2,TESEX,"(-38.931111, -71.433611)"
5,1,GE025,"(-37.353156, -72.419825)"
5,2,URIDA,"(-43.275278, -72.670556)"
5,3,GUVOL,"(-32.375, -70.225)"
6,1,SIROV,"(-34.584722, -70.622778)"
6,2,MUKSO,"(-43.280278, -72.974444)"
6,3,ARMOS,"(-24.291667, -67.979167)"
7,1,MUNER,"(-52.0, -71.31)"
7,2,SOTKU,"(-21.866667, -68.0625)"
7,3,REKET,"(-44.098889, -72.380833)"
7,4,ANGAT,"(-23.151944, -68.553056)"
7,5,GUVOL,"(-32.375, -70.225)"
8,1,ASALA,"(-27.675556, -108.439444)"
8,2,EDSUK,"(-31.416667, -90.0)"
8,3,EL138,"(-33.401844, -70.642517)"
8,4,URIDA,"(-43.275278, -72.670556)"
8,5,MUBIL,"(-38.915556, -72.252222)"
8,6,ANGAT,"(-23.151944, -68.553056)"
9,1,MUBIL,"(-38.915556, -72.252222)"
9,2,SIROV,"(-34.584722, -70.622778)"
10,1,VUDAP,"(-23.143889, -68.805)"
10,2,ARMOS,"(-24.291667, -67.979167)"
11,1,ASALA,"(-27.675556, -108.439444)"
11,2,ANGAT,"(-23.151944, -68.553056)"
14,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
14,2,EDSUK,"(-31.416667, -90.0)"
14,3,EL138,"(-33.401844, -70.642517)"
14,4,VUDAP,"(-23.143889, -68.805)"
14,5,ANGAT,"(-23.151944, -68.553056)"
14,6,GUVOL,"(-32.375, -70.225)"
16,1,MUNER,"(-52.0, -71.31)"
16,2,GE025,"(-37.353156, -72.419825)"
17,1,MUBIL,"(-38.915556, -72.252222)"
17,2,SIROV,"(-34.584722, -70.622778)"
17,3,MUKSO,"(-43.280278, -72.974444)"
17,4,BAL,"(-45.913056, -71.7125)"
19,1,MUKSO,"(-43.280278, -72.974444)"
19,2,VUDAP,"(-23.143889, -68.805)"
21,1,URIDA,"(-43.275278, -72.670556)"
21,2,BAL,"(-45.913056, -71.7125)"
21,3,SASTI,"(-42.591944, -73.228333)"
22,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
22,2,GE025,"(-37.353156, -72.419825)"
22,3,MUBIL,"(-38.915556, -72.252222)"
23,1,SIROV,"(-34.584722, -70.622778)"
23,2,VUDAP,"(-23.143889, -68.805)"
26,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
26,2,GE025,"(-37.353156, -72.419825)"
26,3,SASTI,"(-42.591944, -73.228333)"
27,1,ASALA,"(-27.675556, -108.439444)"
27,2,MUNER,"(-52.0, -71.31)"
