id,codigo,id_reservante
4263,LAT5532-4263,1
1722,LRC9669-1722,30
2621,LAW6318-2621,62
219,LAW6351-0219,64
1037,LAT5532-1037,53
1331,ETA7128-1331,1
2704,UAN2468-2704,67
3978,LUD7177-3978,7
616,ETA6742-0616,34
4160,LRC9669-4160,40
820,COG4299-0820,51
4470,LRC4743-4470,67
2542,BTA8394-2542,62
4209,XLE7933-4209,12
2855,LUD5927-2855,6
372,LRC4743-0372,34
1642,QAF4466-1642,47
1,XLE7933-0001,15
1433,ADC8249-1433,16
2739,LAT5532-2739,11
692,IBE8751-0692,18
1269,COG7539-1269,26
4772,XLE3285-4772,1
3891,EAL8271-3891,10
489,NCY5615-0489,23
1991,UAN2468-1991,52
3775,LAM9554-3775,87
4782,QAF4466-4782,79
2844,AZI6476-2844,27
4365,BTA9626-4365,56
4222,LAW6318-4222,16
2151,QAF6392-2151,42
2220,LAM9554-2220,34
4247,UAN2468-4247,16
2123,IBE2338-2123,8
2288,NCY5615-2288,31
629,EAL7933-0629,71
2262,COG7539-2262,81
3593,AZI6476-3593,80
3180,KAI3589-3180,12
9,LAW6318-0009,52
3739,QAF6392-3739,38
4437,UAN2881-4437,8
807,BTA8394-0807,14
873,KAI7891-0873,32
4669,MPH1782-4669,42
2504,XLE3285-2504,34
1422,EAL8271-1422,34
3366,IBE8751-3366,60
4265,AZI6476-4265,48
231,UAN2881-0231,54
2218,UAN2881-2218,44
2964,UCA4751-2964,75
3845,KAI3589-3845,7
1618,IBE8751-1618,33
2910,LAW6351-2910,47
2540,ADC6283-2540,65
3231,NCY5615-3231,83
2280,ETA7128-2280,50
3588,UAN2468-3588,4
4150,BTA8394-4150,20
4660,EAL8271-4660,47
3536,XLE7933-3536,26
2875,BTA9626-2875,7
1726,LAM9574-1726,8
92,UAN2468-0092,72
4236,LAW1134-4236,41
2226,LRC4743-2226,24
1286,XLE5111-1286,12
2556,LRC9669-2556,76
736,XLE3285-0736,56
1016,UAN2468-1016,57
4396,LAW6351-4396,21
2029,AZI6476-2029,51
1480,LUD7177-1480,87
3396,ADC6283-3396,38
628,NCY1133-0628,78
182,IBE2338-0182,19
4523,KEA7139-4523,64
538,MPH1782-0538,3
2633,COG3144-2633,62
3974,ETA6742-3974,5
3679,BTA9626-3679,78
2276,KEA7139-2276,11
4902,COG4299-4902,3
3712,IBE2338-3712,9
3668,LUD5927-3668,62
2578,LAT2175-2578,75
1082,BTA9626-1082,47
3832,KEA7139-3832,37
1970,LAW1134-1970,76
3421,LRC9669-3421,86
3294,ETA6742-3294,30
531,EAL8271-0531,20
405,XLE5111-0405,76
1007,COG3144-1007,42
444,KAI3589-0444,53
2048,LUD5927-2048,10
159,AZI6476-0159,68
905,LAW6318-0905,55
834,LRC9669-0834,8
2988,UAN2881-2988,30
3772,UAN2881-3772,67
842,LAM9574-0842,17
1515,NCY1133-1515,43
2577,LAM9574-2577,73
4064,XLE3285-4064,53
3394,QAF4466-3394,8
3376,XLE3285-3376,41
4604,ETA7128-4604,6
2543,COG4299-2543,16
3339,EAL7933-3339,33
3972,ADC8249-3972,28
435,ETA7128-0435,27
4697,ADC8249-4697,56
4158,COG4299-4158,18
4831,BTA8394-4831,72
4979,LAT2175-4979,53
1687,BTA8394-1687,33
2515,QAF4466-2515,65
3463,LAT2175-3463,47
1196,LAM9554-1196,23
3405,BTA8394-3405,74
2465,NCY1133-2465,74
1051,AZI6476-1051,76
4241,COG3144-4241,53
4727,LUD7177-4727,42
4186,LAT2175-4186,13
1749,KAI7891-1749,71
894,XLE7933-0894,69
1995,LAT5532-1995,12
2500,IBE8751-2500,45
3825,XLE5111-3825,89
797,ADC6283-0797,49
1080,LUD5927-1080,58
2339,MPH1782-2339,56
2301,EAL8271-2301,89
1623,XLE3285-1623,21
3168,ETA7128-3168,73
414,KEA7139-0414,79
4033,IBE8751-4033,10
1699,COG4299-1699,62
3752,UCA4751-3752,42
4123,QAF4466-4123,19
2936,QAF6392-2936,57
4268,LUD5927-4268,1
3999,NCY1133-3999,5
3298,LUD7177-3298,68
3409,COG4299-3409,67
2054,BTA9626-2054,19
4490,XLE5111-4490,56
4763,EAL7933-4763,39
3333,NCY1133-3333,72
3568,COG3144-3568,70
174,LUD5927-0174,90
1090,IBE2338-1090,7
3564,LAW1134-3564,32
3037,LRC4743-3037,37
4473,COG7539-4473,65
102,LAT5532-0102,88
4464,LAM9554-4464,17
2133,LAW6351-2133,46
3887,NCY5615-3887,1
3951,MPH1782-3951,68
843,LAT2175-0843,74
3817,LRC4743-3817,63
1195,UAN2881-1195,78
3450,LAM9574-3450,83
3819,COG7539-3819,67
3080,XLE5111-3080,85
3728,LAW6351-3728,37
4188,KAI7891-4188,31
221,QAF6392-0221,81
4634,KAI3589-4634,41
1733,LAT2175-1733,29
4922,LRC9669-4922,29
