id_trabajador,id_aerolinea
4,8
38,18
24,9
8,1
2,14
35,7
22,4
15,5
40,11
59,10
22,18
31,16
25,5
58,16
17,15
59,8
59,9
39,1
25,19
25,1
18,19
45,15
10,7
59,16
20,10
43,3
59,17
8,13
0,19
53,3
14,14
40,6
51,16
59,12
8,15
35,4
34,14
37,12
54,2
25,3
25,8
31,1
59,4
19,14
37,3
15,13
17,5
21,20
23,15
17,6
8,7
18,3
23,13
12,1
8,11
10,15
40,16
7,2
4,4
19,6
22,2
45,12
46,18
59,3
16,6
15,7
31,6
37,11
54,11
8,14
50,12
18,6
23,12
22,10
7,1
22,8
8,6
47,10
0,7
8,20
24,19
56,18
31,20
22,5
32,19
34,17
1,14
49,8
53,8
19,1
42,13
56,8
21,4
19,15
13,8
12,12
56,10
37,9
5,14
58,18
52,8
10,6
21,7
51,8
59,18
32,17
38,5
31,12
41,9
0,16
21,8
24,20
33,3
2,3
8,10
19,20
28,12
59,5
50,3
23,16
32,11
47,4
8,19
56,4
22,13
12,9
26,15
58,3
34,2
5,18
21,1
0,13
46,14
9,3
16,20
7,16
56,7
7,8
25,20
59,2
53,1
35,17
26,12
30,14
1,9
16,5
24,7
56,3
27,16
52,12
30,20
28,11
51,12
17,4
20,9
37,4
9,15
52,6
39,17
34,10
58,13
5,2
7,3
41,6
13,19
50,20
2,12
38,14
49,14
24,6
0,2
41,7
58,1
40,12
47,5
41,14
9,18
37,17
2,7
34,18
2,8
34,4
13,9
49,18
46,8
43,1
14,5
54,8
11,14
11,16
15,11
33,17
48,12
54,9
27,2
1,20
4,12
42,8
29,11
10,10
14,3
9,17
17,11
50,18
5,8
28,14
48,2
15,10
45,5
30,19
39,12
20,13
42,2
11,11
47,6
