id_vuelo,id_trabajador,rol
139,4,Tripulante de Cabina
124,35,Paramedico
77,15,Copiloto
147,25,Copiloto
17,59,Piloto
94,43,Paramedico
143,0,Copiloto
27,53,Paramedico
89,35,Paramedico
65,18,Tripulante de Cabina
130,23,Copiloto
87,12,Tripulante de Cabina
100,54,Piloto
25,18,Tripulante de Cabina
82,23,Copiloto
90,17,Copiloto
3,59,Copiloto
121,14,Tripulante de Cabina
109,47,Paramedico
108,56,Tripulante de Cabina
132,8,Copiloto
76,8,Copiloto
50,1,Tripulante de Cabina
138,49,Paramedico
43,53,Paramedico
51,59,Piloto
111,21,Copiloto
26,12,Tripulante de Cabina
54,52,Paramedico
90,22,Tripulante de Cabina
86,0,Piloto
115,21,Piloto
21,24,Piloto
91,33,Tripulante de Cabina
84,24,Piloto
97,28,Tripulante de Cabina
29,50,Paramedico
83,37,Copiloto
98,47,Paramedico
12,8,Piloto
107,8,Copiloto
111,56,Tripulante de Cabina
113,12,Tripulante de Cabina
6,19,Tripulante de Cabina
19,7,Piloto
53,51,Tripulante de Cabina
107,0,Piloto
33,58,Tripulante de Cabina
56,21,Copiloto
118,26,Tripulante de Cabina
60,0,Piloto
33,50,Paramedico
141,7,Piloto
9,31,Piloto
136,21,Piloto
8,7,Piloto
106,35,Paramedico
97,26,Tripulante de Cabina
147,24,Piloto
76,10,Piloto
128,25,Piloto
28,22,Tripulante de Cabina
55,8,Copiloto
121,30,Paramedico
141,53,Paramedico
70,15,Piloto
127,25,Copiloto
12,16,Tripulante de Cabina
84,30,Paramedico
39,58,Tripulante de Cabina
131,22,Tripulante de Cabina
11,28,Tripulante de Cabina
118,23,Copiloto
100,8,Copiloto
110,22,Tripulante de Cabina
127,31,Piloto
21,30,Paramedico
108,59,Piloto
139,25,Piloto
42,39,Tripulante de Cabina
59,59,Copiloto
33,25,Piloto
53,21,Copiloto
44,58,Tripulante de Cabina
43,21,Piloto
146,0,Piloto
101,5,Tripulante de Cabina
36,22,Tripulante de Cabina
110,8,Piloto
68,7,Piloto
24,22,Tripulante de Cabina
91,2,Tripulante de Cabina
144,13,Tripulante de Cabina
73,59,Copiloto
8,22,Tripulante de Cabina
102,46,Tripulante de Cabina
29,59,Copiloto
30,49,Paramedico
28,7,Copiloto
144,8,Copiloto
44,15,Piloto
124,41,Piloto
137,51,Tripulante de Cabina
32,21,Copiloto
35,40,Paramedico
41,8,Copiloto
105,50,Paramedico
35,59,Copiloto
34,41,Copiloto
125,30,Paramedico
144,25,Piloto
48,2,Tripulante de Cabina
142,18,Tripulante de Cabina
124,2,Tripulante de Cabina
26,2,Tripulante de Cabina
44,23,Copiloto
113,13,Tripulante de Cabina
45,38,Copiloto
139,56,Tripulante de Cabina
65,53,Paramedico
71,7,Copiloto
101,22,Tripulante de Cabina
88,8,Copiloto
144,32,Paramedico
51,51,Tripulante de Cabina
50,49,Paramedico
63,37,Piloto
59,5,Tripulante de Cabina
96,37,Piloto
31,59,Piloto
71,43,Paramedico
112,25,Copiloto
90,14,Tripulante de Cabina
137,54,Copiloto
34,11,Tripulante de Cabina
140,52,Paramedico
21,25,Copiloto
78,35,Paramedico
34,2,Tripulante de Cabina
134,15,Piloto
132,54,Piloto
142,32,Paramedico
108,46,Tripulante de Cabina
135,21,Piloto
9,52,Paramedico
93,2,Tripulante de Cabina
37,19,Tripulante de Cabina
35,48,Tripulante de Cabina
135,31,Copiloto
104,56,Tripulante de Cabina
87,8,Copiloto
14,27,Paramedico
109,34,Copiloto
105,4,Tripulante de Cabina
91,25,Piloto
72,25,Piloto
123,38,Piloto
38,21,Piloto
11,29,Piloto
66,10,Copiloto
103,14,Tripulante de Cabina
56,8,Piloto
44,42,Tripulante de Cabina
103,25,Copiloto
23,51,Tripulante de Cabina
126,9,Piloto
79,17,Piloto
147,32,Paramedico
94,25,Copiloto
139,51,Tripulante de Cabina
114,19,Tripulante de Cabina
15,39,Tripulante de Cabina
88,15,Piloto
107,13,Tripulante de Cabina
6,46,Tripulante de Cabina
4,43,Paramedico
117,59,Copiloto
138,54,Piloto
132,32,Paramedico
108,49,Paramedico
36,21,Copiloto
80,8,Copiloto
13,59,Piloto
6,11,Tripulante de Cabina
111,59,Piloto
130,15,Piloto
43,54,Copiloto
98,59,Piloto
66,20,Paramedico
58,30,Paramedico
126,59,Copiloto
57,27,Paramedico
5,58,Tripulante de Cabina
59,48,Tripulante de Cabina
80,43,Paramedico
26,23,Piloto
133,53,Paramedico
95,50,Paramedico
11,40,Paramedico
57,11,Tripulante de Cabina
131,15,Copiloto
145,18,Tripulante de Cabina
120,8,Piloto
114,17,Piloto
7,24,Copiloto
89,34,Piloto
18,52,Paramedico
108,34,Copiloto
89,56,Tripulante de Cabina
48,59,Piloto
99,59,Copiloto
27,37,Copiloto
20,12,Tripulante de Cabina
20,59,Copiloto
67,32,Paramedico
18,37,Piloto
76,16,Tripulante de Cabina
1,58,Tripulante de Cabina
0,56,Tripulante de Cabina
136,22,Tripulante de Cabina
109,8,Piloto
81,14,Tripulante de Cabina
86,40,Paramedico
45,8,Piloto
132,28,Tripulante de Cabina
123,45,Paramedico
87,19,Tripulante de Cabina
66,56,Tripulante de Cabina
0,8,Piloto
52,59,Copiloto
103,18,Tripulante de Cabina
111,4,Tripulante de Cabina
89,22,Tripulante de Cabina
99,38,Piloto
128,7,Copiloto
136,46,Tripulante de Cabina
90,38,Piloto
101,59,Copiloto
139,21,Copiloto
30,46,Tripulante de Cabina
44,20,Paramedico
45,46,Tripulante de Cabina
114,52,Paramedico
106,34,Copiloto
48,48,Tripulante de Cabina
40,48,Tripulante de Cabina
95,16,Tripulante de Cabina
131,8,Piloto
143,30,Paramedico
5,38,Copiloto
137,25,Piloto
69,52,Paramedico
69,10,Piloto
94,56,Tripulante de Cabina
131,47,Paramedico
45,11,Tripulante de Cabina
48,26,Tripulante de Cabina
68,58,Tripulante de Cabina
83,40,Paramedico
38,53,Paramedico
4,37,Piloto
81,25,Piloto
99,22,Tripulante de Cabina
65,58,Tripulante de Cabina
61,21,Piloto
110,20,Paramedico
9,39,Tripulante de Cabina
54,21,Piloto
84,21,Copiloto
78,10,Piloto
47,56,Tripulante de Cabina
22,23,Piloto
146,24,Copiloto
96,23,Copiloto
25,16,Tripulante de Cabina
129,47,Paramedico
92,26,Tripulante de Cabina
50,19,Tripulante de Cabina
46,2,Tripulante de Cabina
140,59,Copiloto
119,19,Tripulante de Cabina
141,25,Copiloto
104,2,Tripulante de Cabina
138,2,Tripulante de Cabina
85,19,Tripulante de Cabina
133,21,Piloto
148,0,Piloto
142,25,Piloto
121,46,Tripulante de Cabina
3,37,Piloto
116,51,Tripulante de Cabina
121,34,Copiloto
134,17,Copiloto
103,58,Tripulante de Cabina
60,58,Tripulante de Cabina
33,2,Tripulante de Cabina
148,25,Copiloto
77,22,Tripulante de Cabina
59,22,Tripulante de Cabina
62,27,Paramedico
119,25,Copiloto
125,24,Piloto
103,43,Paramedico
9,59,Copiloto
104,24,Piloto
137,52,Paramedico
141,5,Tripulante de Cabina
80,25,Piloto
45,1,Tripulante de Cabina
138,42,Tripulante de Cabina
26,26,Tripulante de Cabina
136,4,Tripulante de Cabina
47,4,Tripulante de Cabina
123,16,Tripulante de Cabina
72,32,Paramedico
107,18,Tripulante de Cabina
121,5,Tripulante de Cabina
7,12,Tripulante de Cabina
8,46,Tripulante de Cabina
98,56,Tripulante de Cabina
15,59,Copiloto
50,34,Copiloto
33,33,Tripulante de Cabina
98,21,Copiloto
129,37,Piloto
55,25,Piloto
42,33,Tripulante de Cabina
72,18,Tripulante de Cabina
49,42,Tripulante de Cabina
81,37,Copiloto
60,20,Paramedico
41,18,Tripulante de Cabina
111,47,Paramedico
50,46,Tripulante de Cabina
145,0,Copiloto
31,9,Copiloto
120,16,Tripulante de Cabina
122,0,Copiloto
75,54,Piloto
39,31,Copiloto
147,13,Tripulante de Cabina
32,35,Paramedico
96,39,Tripulante de Cabina
38,25,Copiloto
120,19,Tripulante de Cabina
67,8,Piloto
112,19,Tripulante de Cabina
40,5,Tripulante de Cabina
3,20,Paramedico
5,9,Piloto
16,39,Tripulante de Cabina
13,52,Paramedico
79,28,Tripulante de Cabina
121,2,Tripulante de Cabina
2,50,Paramedico
22,0,Copiloto
120,52,Paramedico
76,18,Tripulante de Cabina
1,18,Tripulante de Cabina
92,10,Copiloto
37,1,Tripulante de Cabina
40,27,Paramedico
74,59,Piloto
9,2,Tripulante de Cabina
88,40,Paramedico
102,41,Piloto
93,24,Copiloto
106,9,Piloto
136,2,Tripulante de Cabina
137,42,Tripulante de Cabina
70,20,Paramedico
38,5,Tripulante de Cabina
145,25,Piloto
63,20,Paramedico
97,12,Tripulante de Cabina
49,27,Paramedico
95,25,Piloto
96,51,Tripulante de Cabina
34,34,Piloto
116,23,Piloto
52,26,Tripulante de Cabina
86,58,Tripulante de Cabina
37,25,Piloto
23,58,Tripulante de Cabina
38,4,Tripulante de Cabina
129,56,Tripulante de Cabina
39,59,Piloto
16,37,Piloto
101,27,Paramedico
10,52,Paramedico
73,35,Paramedico
58,25,Copiloto
3,12,Tripulante de Cabina
96,12,Tripulante de Cabina
62,23,Piloto
97,40,Paramedico
81,2,Tripulante de Cabina
52,51,Tripulante de Cabina
0,22,Tripulante de Cabina
122,11,Tripulante de Cabina
102,34,Copiloto
29,25,Piloto
97,31,Copiloto
1,59,Copiloto
136,7,Copiloto
92,23,Piloto
124,21,Copiloto
26,51,Tripulante de Cabina
117,14,Tripulante de Cabina
115,53,Paramedico
35,26,Tripulante de Cabina
115,46,Tripulante de Cabina
45,28,Tripulante de Cabina
13,7,Copiloto
33,14,Tripulante de Cabina
10,41,Copiloto
90,47,Paramedico
33,9,Copiloto
46,56,Tripulante de Cabina
138,13,Tripulante de Cabina
77,47,Paramedico
30,5,Tripulante de Cabina
119,12,Tripulante de Cabina
12,52,Paramedico
30,28,Tripulante de Cabina
126,35,Paramedico
112,16,Tripulante de Cabina
116,27,Paramedico
86,59,Copiloto
140,51,Tripulante de Cabina
75,5,Tripulante de Cabina
102,49,Paramedico
117,38,Piloto
78,2,Tripulante de Cabina
122,58,Tripulante de Cabina
77,38,Piloto
126,39,Tripulante de Cabina
65,33,Tripulante de Cabina
125,16,Tripulante de Cabina
74,45,Paramedico
62,0,Copiloto
38,46,Tripulante de Cabina
85,24,Copiloto
70,0,Copiloto
24,23,Copiloto
112,24,Piloto
22,11,Tripulante de Cabina
79,32,Paramedico
